composite_ID,UID,test,domain,TSVR_hours,IRT_score
A010_1,A010,1,What,1.0,1.9723079
A010_2,A010,2,What,21.9,0.5321417
A010_3,A010,3,What,80.88,-0.24620515
A010_4,A010,4,What,145.31,0.76564074
A011_1,A011,1,What,1.0,1.1758701
A011_2,A011,2,What,24.57,0.58703774
A011_3,A011,3,What,72.55,-0.32275462
A011_4,A011,4,What,148.85,-0.6501544
A012_1,A012,1,What,1.0,1.317989
A012_2,A012,2,What,25.6,-0.16549101
A012_3,A012,3,What,166.33,0.5725235
A012_4,A012,4,What,166.87,-0.5827313
A013_1,A013,1,What,1.0,0.085204296
A013_2,A013,2,What,24.77,-0.30207354
A013_3,A013,3,What,79.66,0.38999763
A013_4,A013,4,What,147.13,-0.5718052
A014_1,A014,1,What,1.0,0.990247
A014_2,A014,2,What,25.66,2.0772517
A014_3,A014,3,What,70.56,0.39994225
A014_4,A014,4,What,148.87,-0.48348227
A015_1,A015,1,What,1.0,1.7676418
A015_2,A015,2,What,23.69,1.9235327
A015_3,A015,3,What,70.59,1.7069992
A015_4,A015,4,What,146.54,0.48828286
A016_1,A016,1,What,1.0,1.0766052
A016_2,A016,2,What,32.85,-0.39004326
A016_3,A016,3,What,80.64,0.09681583
A016_4,A016,4,What,150.8,-1.1568888
A017_1,A017,1,What,1.0,-0.40713716
A017_2,A017,2,What,20.61,1.0619187
A017_3,A017,3,What,61.28,0.66992927
A017_4,A017,4,What,140.49,0.20140322
A018_1,A018,1,What,1.0,0.32558995
A018_2,A018,2,What,34.03,-0.36246425
A018_3,A018,3,What,83.64,-0.91410375
A018_4,A018,4,What,150.87,0.16954863
A019_1,A019,1,What,1.0,-0.015733648
A019_2,A019,2,What,28.69,-1.1935377
A019_3,A019,3,What,83.68,-0.94285613
A019_4,A019,4,What,154.76,-1.264995
A020_1,A020,1,What,1.0,-0.01839159
A020_2,A020,2,What,26.85,-0.5171829
A020_3,A020,3,What,78.25,-0.46821594
A020_4,A020,4,What,145.78,-2.2787354
A021_1,A021,1,What,1.0,1.0875474
A021_2,A021,2,What,30.21,0.8355286
A021_3,A021,3,What,74.19,0.29306138
A021_4,A021,4,What,140.39,0.7857295
A022_1,A022,1,What,1.0,-0.07678151
A022_2,A022,2,What,24.15,0.13877183
A022_3,A022,3,What,74.46,-0.30076003
A022_4,A022,4,What,141.71,0.26840943
A023_1,A023,1,What,1.0,0.59516215
A023_2,A023,2,What,25.63,-0.49034083
A023_3,A023,3,What,72.2,0.32838494
A023_4,A023,4,What,145.07,-0.06907465
A024_1,A024,1,What,1.0,0.079528205
A024_2,A024,2,What,29.57,-0.0904471
A024_3,A024,3,What,91.47,0.3260986
A024_4,A024,4,What,145.65,-0.4476697
A025_1,A025,1,What,1.0,0.9811938
A025_2,A025,2,What,23.33,1.7059261
A025_3,A025,3,What,72.94,-0.524388
A025_4,A025,4,What,137.74,-1.4041344
A026_1,A026,1,What,1.0,0.85312533
A026_2,A026,2,What,26.48,0.00019577265
A026_3,A026,3,What,75.46,0.3868858
A026_4,A026,4,What,147.65,-0.0556293
A027_1,A027,1,What,1.0,0.8339228
A027_2,A027,2,What,28.26,0.33739686
A027_3,A027,3,What,74.58,-0.7617411
A027_4,A027,4,What,145.92,-0.9249458
A028_1,A028,1,What,1.0,1.3888893
A028_2,A028,2,What,22.82,0.3311532
A028_3,A028,3,What,72.26,-0.43044564
A028_4,A028,4,What,138.91,-0.40401626
A029_1,A029,1,What,1.0,1.4967275
A029_2,A029,2,What,28.43,-0.0183022
A029_3,A029,3,What,93.26,1.1595125
A029_4,A029,4,What,143.14,1.0474995
A030_1,A030,1,What,1.0,0.2812619
A030_2,A030,2,What,32.95,0.8832621
A030_3,A030,3,What,71.93,-0.18143387
A030_4,A030,4,What,150.46,-0.0007534161
A031_1,A031,1,What,1.0,2.098076
A031_2,A031,2,What,32.41,-0.3397794
A031_3,A031,3,What,71.56,0.16093041
A031_4,A031,4,What,143.85,-0.412024
A032_1,A032,1,What,1.0,0.9237079
A032_2,A032,2,What,57.18,-0.077504
A032_3,A032,3,What,80.16,0.7994235
A032_4,A032,4,What,144.51,1.3869435
A033_1,A033,1,What,1.0,0.35103184
A033_2,A033,2,What,29.16,0.24968037
A033_3,A033,3,What,72.6,0.9273771
A033_4,A033,4,What,168.33,-0.04748927
A034_1,A034,1,What,1.0,1.638878
A034_2,A034,2,What,26.08,0.35502133
A034_3,A034,3,What,74.28,0.20019667
A034_4,A034,4,What,145.38,-0.25343332
A035_1,A035,1,What,1.0,-0.060081527
A035_2,A035,2,What,44.76,0.87888414
A035_3,A035,3,What,79.98,-0.35612592
A035_4,A035,4,What,152.47,-0.88171935
A036_1,A036,1,What,1.0,0.97793245
A036_2,A036,2,What,21.63,0.026050432
A036_3,A036,3,What,71.47,-0.35021576
A036_4,A036,4,What,143.85,-0.5848764
A037_1,A037,1,What,1.0,1.2614937
A037_2,A037,2,What,23.7,1.157818
A037_3,A037,3,What,72.08,0.059776444
A037_4,A037,4,What,143.66,-0.13570116
A038_1,A038,1,What,1.0,1.2025418
A038_2,A038,2,What,71.85,0.007853324
A038_3,A038,3,What,72.86,0.70266676
A038_4,A038,4,What,152.89,0.056318834
A039_1,A039,1,What,1.0,2.252001
A039_2,A039,2,What,28.65,0.92305565
A039_3,A039,3,What,98.84,0.31220362
A039_4,A039,4,What,246.24,0.6324969
A040_1,A040,1,What,1.0,-0.36999494
A040_2,A040,2,What,26.26,0.056224108
A040_3,A040,3,What,71.28,-1.5265014
A040_4,A040,4,What,143.53,-1.7589025
A041_1,A041,1,What,1.0,1.2257649
A041_2,A041,2,What,31.78,-1.0088389
A041_3,A041,3,What,75.74,0.059980888
A041_4,A041,4,What,141.84,0.045220107
A042_1,A042,1,What,1.0,-0.8475921
A042_2,A042,2,What,28.93,-0.4416498
A042_3,A042,3,What,72.17,0.056583792
A042_4,A042,4,What,146.02,-1.0751622
A043_1,A043,1,What,1.0,0.78068006
A043_2,A043,2,What,25.62,0.43919662
A043_3,A043,3,What,64.94,0.38608864
A043_4,A043,4,What,149.33,-0.026184201
A044_1,A044,1,What,1.0,-0.12027291
A044_2,A044,2,What,47.66,-0.47558594
A044_3,A044,3,What,91.63,-0.9757199
A044_4,A044,4,What,155.27,-1.5148207
A045_1,A045,1,What,1.0,-0.90017945
A045_2,A045,2,What,24.66,-0.808676
A045_3,A045,3,What,72.23,-0.65163666
A045_4,A045,4,What,151.52,-1.5065612
A046_1,A046,1,What,1.0,-0.55372006
A046_2,A046,2,What,24.32,-1.0450114
A046_3,A046,3,What,73.05,-1.613356
A046_4,A046,4,What,147.94,-1.2604105
A047_1,A047,1,What,1.0,-0.4363785
A047_2,A047,2,What,23.46,-0.48320502
A047_3,A047,3,What,76.85,-1.4562982
A047_4,A047,4,What,144.22,-1.3712326
A048_1,A048,1,What,1.0,1.0746682
A048_2,A048,2,What,23.91,-0.534043
A048_3,A048,3,What,81.15,0.23268522
A048_4,A048,4,What,146.3,0.47788984
A049_1,A049,1,What,1.0,2.0709105
A049_2,A049,2,What,27.12,-0.3073396
A049_3,A049,3,What,111.38,0.13866153
A049_4,A049,4,What,168.86,-0.27844822
A050_1,A050,1,What,1.0,-0.5759458
A050_2,A050,2,What,24.73,-0.6173181
A050_3,A050,3,What,93.39,-1.037826
A050_4,A050,4,What,148.69,-1.1924096
A051_1,A051,1,What,1.0,1.2619079
A051_2,A051,2,What,17.16,-0.61919725
